track_name,artist_name
anti-hero,taylor swift
lift me up,rihanna
unholy,sam smith & kim petras
bad habit,steve lacy
as it was,harry styles
lavender haze,taylor swift
midnight rain,taylor swift
i like you (a happier song),post malone featuring doja cat
bejeweled,taylor swift
super freaky girl,nicki minaj
shirt,sza
maroon,taylor swift
i ain't worried,onerepublic
you proof,morgan wallen
i'm good (blue),david guetta & bebe rexha
snow on the beach,taylor swift featuring lana del rey
karma,taylor swift
vegas,doja cat
sunroof,nicky youre & dazy
"you're on your own, kid",taylor swift
under the influence,chris brown
wasted on you,morgan wallen
in my head,juice wrld
vigilante shit,taylor swift
jimmy cooks,drake featuring 21 savage
thriller,michael jackson
die for you,the weeknd
wait for u,future featuring drake & tems
something in the orange,zach bryan
titi me pregunto,bad bunny
cuff it,beyonce
question...?,taylor swift
about damn time,lizzo
late night talking,harry styles
tomorrow 2,glorilla & cardi b
the kind of love we make,luke combs
she had me at heads carolina,cole swindell
mastermind,taylor swift
unstoppable,sia
hold me closer,elton john & britney spears
me porto bonito,bad bunny & chencho corleone
labyrinth,taylor swift
thank god,kane brown with katelyn brown
5 foot 9,tyler hubbard
sweet nothing,taylor swift
golden hour,jvke
monster mash,"bobby ""boris"" pickett and the crypt-kickers"
just wanna rock,lil uzi vert
ghostbusters,ray parker jr.
fall in love,bailey zimmerman
the astronaut,jin
half of me,thomas rhett featuring riley green
until i found you,stephen sanchez
rock and a hard place,bailey zimmerman
california breeze,lil baby
victoria’s secret,jax
son of a sinner,jelly roll
what my world spins around,jordan davis
"would've, could've, should've",taylor swift
star walkin' (league of legends worlds anthem),lil nas x
heyy,lil baby
music for a sushi restaurant,harry styles
made you look,meghan trainor
forever,lil baby featuring fridayy
romantic homicide,d4vd
don't come lookin',jackson dean
wishful drinking,ingrid andress with sam hunt
bigger than the whole sky,taylor swift
free mind,tems
no se va,grupo frontera
the great war,taylor swift
billie eilish.,armani white
paris,taylor swift
whiskey on you,nate smith
all mine,brent faiyaz
wait in the truck,hardy featuring lainey wilson
monotonia,shakira + ozuna
hotel lobby (unc and phew),quavo & takeoff
high infidelity,taylor swift
2 be loved (am i ready),lizzo
staying alive,dj khaled featuring drake & lil baby
real spill,lil baby
last last,burna boy
miss you,oliver tree & robin schulz
never hating,lil baby & young thug
glitch,taylor swift
freestyle,lil baby
calm down,rema & selena gomez
stand on it,lil baby
la bachata,manuel turizo
gotta move on,diddy & bryson tiller
ain't safe,trippie redd & don toliver
pick me up,gabby barrett
betty (get money),yung gravy
gatubela,karol g x maldy
300 blackout,kodak black
dear reader,taylor swift
country on,luke bryan
"bzrp music sessions, vol. 52",bizarrap & quevedo
evergreen,omar apollo
