artist_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
glenn miller,the little man who wasn't there,0.734,0.422,10,-10.772,1,0.175,0.868,0.0371,0.114,0.577,88.387,audio_features,3ZDS2we70XCOEndkITg8Ft,spotify:track:3ZDS2we70XCOEndkITg8Ft,https://api.spotify.com/v1/tracks/3ZDS2we70XCOEndkITg8Ft,https://api.spotify.com/v1/audio-analysis/3ZDS2we70XCOEndkITg8Ft,182827,4
misfits,american psycho,0.484,0.995,7,-5.3,1,0.102,0.000248,0.00113,0.381,0.0771,109.556,audio_features,77v5yDwMLiJlIsHNJQxXrY,spotify:track:77v5yDwMLiJlIsHNJQxXrY,https://api.spotify.com/v1/tracks/77v5yDwMLiJlIsHNJQxXrY,https://api.spotify.com/v1/audio-analysis/77v5yDwMLiJlIsHNJQxXrY,126907,4
elliott smith,somebody that i used to know,0.576,0.367,1,-14.785,1,0.03,0.432,2.24e-06,0.124,0.77,108.446,audio_features,4xfAVJL8R7mVYbDk8a9xOY,spotify:track:4xfAVJL8R7mVYbDk8a9xOY,https://api.spotify.com/v1/tracks/4xfAVJL8R7mVYbDk8a9xOY,https://api.spotify.com/v1/audio-analysis/4xfAVJL8R7mVYbDk8a9xOY,129333,4
june carter cash,juke box blues,0.854,0.356,6,-8.78,1,0.0609,0.863,0.000675,0.131,0.845,113.283,audio_features,5x46pk7OZUv1WWiP6iEdMy,spotify:track:5x46pk7OZUv1WWiP6iEdMy,https://api.spotify.com/v1/tracks/5x46pk7OZUv1WWiP6iEdMy,https://api.spotify.com/v1/audio-analysis/5x46pk7OZUv1WWiP6iEdMy,138600,4
"emerson, lake & palmer","karn evil 9 1st impression, pt. 1",0.385,0.817,1,-9.073,1,0.0659,0.267,0.00191,0.0756,0.683,128.391,audio_features,0nDQu5i6B93GvUJH8iJ0y9,spotify:track:0nDQu5i6B93GvUJH8iJ0y9,https://api.spotify.com/v1/tracks/0nDQu5i6B93GvUJH8iJ0y9,https://api.spotify.com/v1/audio-analysis/0nDQu5i6B93GvUJH8iJ0y9,285760,4
queens of the stone age,another love song,0.376,0.756,9,-4.93,1,0.0657,0.136,0.0155,0.376,0.454,146.114,audio_features,5HjEC3NlSzKsVKmqnhXrum,spotify:track:5HjEC3NlSzKsVKmqnhXrum,https://api.spotify.com/v1/tracks/5HjEC3NlSzKsVKmqnhXrum,https://api.spotify.com/v1/audio-analysis/5HjEC3NlSzKsVKmqnhXrum,195558,4
adema,immortal,0.482,0.938,6,-4.727,1,0.0978,0.000254,0.177,0.0493,0.392,102.852,audio_features,4pawqkNZXTbqrYAd0I5Wtb,spotify:track:4pawqkNZXTbqrYAd0I5Wtb,https://api.spotify.com/v1/tracks/4pawqkNZXTbqrYAd0I5Wtb,https://api.spotify.com/v1/audio-analysis/4pawqkNZXTbqrYAd0I5Wtb,249893,4
the supremes,stop! in the name of love,0.612,0.444,0,-12.752,1,0.0293,0.531,0.0,0.126,0.503,114.961,audio_features,52FlwUMMDnTK8TGkCag9Jd,spotify:track:52FlwUMMDnTK8TGkCag9Jd,https://api.spotify.com/v1/tracks/52FlwUMMDnTK8TGkCag9Jd,https://api.spotify.com/v1/audio-analysis/52FlwUMMDnTK8TGkCag9Jd,172907,4
the notting hillbillies,bewildered,0.463,0.232,5,-17.463,0,0.0339,0.859,0.000265,0.189,0.537,116.062,audio_features,3OhkFJSKPlrqjozVsBSami,spotify:track:3OhkFJSKPlrqjozVsBSami,https://api.spotify.com/v1/tracks/3OhkFJSKPlrqjozVsBSami,https://api.spotify.com/v1/audio-analysis/3OhkFJSKPlrqjozVsBSami,155493,3
sticky fingers,hyper,0.363,0.835,3,-5.08,1,0.127,0.284,0.0,0.147,0.579,151.899,audio_features,76Xb86q5pka3wAHOz9iZbu,spotify:track:76Xb86q5pka3wAHOz9iZbu,https://api.spotify.com/v1/tracks/76Xb86q5pka3wAHOz9iZbu,https://api.spotify.com/v1/audio-analysis/76Xb86q5pka3wAHOz9iZbu,206134,4
